"Proband"	"Time"	"k__Bacteria.p__Actinobacteria"	"k__Bacteria.p__Bacteroidetes"	"k__Bacteria.p__Firmicutes"	"k__Bacteria.p__Proteobacteria"	"k__Bacteria.p__Tenericutes"	"k__Bacteria.p__Verrucomicrobia"
"26FB"	"PRE"	0.0158721618422469	0.0245883998708705	0.148983105563327	0.00651027655224362	0.00737113956741634	0.00414290326051867
"26FB"	"POST"	0.0248534218855394	0.0273439526799149	0.137446168214601	0.0049810615887511	0	0.00985835106106989
"28HM"	"PRE"	0.0262240491180603	0.0316873926843228	0.145845257297466	0.00109266871325251	0.000208127373952859	0.000364222904417503
"28HM"	"POST"	0.0138604504646401	0.0507166482910695	0.134929385205019	0.00588019110621095	0.00021000682522182	0.00010500341261091
"29MK"	"PRE"	0.0146724433869975	0.0503041359697241	0.126092319973962	0.0062274832042788	0.00251357482700397	0.00746313791030586
"29MK"	"POST"	0.0113476491048919	0.0286246022370827	0.157989534723721	0.00274319177197417	0.00138957669236332	0.00318121216139744
"30HB"	"PRE"	0.00664243598398948	0.0282839479165209	0.155564343456963	0.00479549484629944	0.00038670111242268	0.00721641550393231
"30HB"	"POST"	0.00689600445211423	0.0424706581029635	0.144001443977579	0.00636796356578986	0.0023645580014714	0.00347656171583259
"31KE"	"POST"	0.0112507695512601	0.051825684037351	0.135036837669642	0.00475772345117518	0.000441299176025059	0.000857842824529675
"32FG"	"PRE"	0.00962853835630853	0.0649794801641587	0.124539619067663	0.0037882773860886	0.000368304745869725	0.000157844891087025
"32FG"	"POST"	0.0124303693005983	0.0732411801114091	0.114349081906334	0.00355890241386425	0.000773674437796575	0
"34WF"	"PRE"	0.0223278891875129	0.0393839156501964	0.116342774446971	0.0160740128178623	0.00175728757494315	0.00739094480049618
"35AD"	"PRE"	0.0307847590209437	0.0959374211455968	0.0727731516527883	0.00126167045167802	0.000100933636134242	0.000151400454201363
"35AD"	"POST"	0.0129389701735714	0.0574022761849121	0.126247286598873	0.00711760581716718	0.000398364051627981	0.000927087629685885
"36ER"	"PRE"	0.0164403777311076	0.0518269030285286	0.122725447910598	0.00179767756248874	0.000747923866508485	0.00879154273092566
"36ER"	"POST"	0.00935799102655873	0.0488338358754908	0.137336587190956	0.00392992947088222	0.00127367155438173	0.00343746089113434
"37SD"	"PRE"	0.023078564694303	0.0209689893550768	0.152727964079013	0.00166722343482136	0.00171909991971177	0.00251040764581276
"37SD"	"POST"	0.0057618007859824	0.0544501892488206	0.131852591015084	0.00629228483946359	0.00251922190840969	0.00597314171229659
"38AR"	"PRE"	0.0333817109519955	0.0815933571871929	0.0851363224131305	0.00112059915887063	0.000101967075134222	0.000458678726836364
"38AR"	"POST"	0.0189088654680719	0.0365778053316801	0.143728042984088	0.00294482331060136	5.16635668526555e-05	0.000671626369084522
"39DA"	"PRE"	0.035595064601019	0.0592075117015332	0.101386541197653	0.0264022805318245	0.00073994377667995	0.00059800180770318
"39DA"	"POST"	0.0183964636970418	0.0431492323145646	0.136959284705281	0.00495853390170029	0.00165761687987129	0.0019794795992265
"40WA"	"PRE"	0.0223089793641941	0.0494853724078487	0.125335902246109	0.00385336916290625	5.07022258277138e-05	0.000152106677483142
"40WA"	"POST"	0.0102777042454686	0.0481245995245908	0.133336012452356	0.00804381013347908	0.0024311992445627	0.00317124680123203
"40WA"	"FOLLOW-UP"	0.0127956368975825	0.0479836383659342	0.115213173213068	0.0252241858513818	0.00298914468509099	0.000209764539304631
"41ML"	"PRE"	0.024914658378764	0.038314566668365	0.134151933560911	0.00219085953023896	0.000101900443266928	0.00193610842207164
"41ML"	"POST"	0.0100098096975328	0.0497105163608257	0.136218311246565	0.00578263888102099	0.000128372653949623	0.000359397797239815
"41ML"	"FOLLOW-UP"	0.0132295286855376	0.0406192538919451	0.145493339271887	0.00393532582986549	0.000284817206493751	0.000258914497070345
"45GL"	"POST"	0.0115194835276007	0.0371322807252596	0.140278294573141	0.00894383874405911	0.00848248398939131	0.00402378919442263
"47OT"	"PRE"	0.0263753745405719	0.0437269475816015	0.129170712853289	0.00180442977499116	7.62440935294104e-05	0.000127018401729461
"47OT"	"POST"	0.0155427815465355	0.0549129197962368	0.126834286586436	0.00646078776299638	0.000232179634985869	2.58892973644696e-05
"49RJ"	"PRE"	0.00837079522554643	0.0654678861158477	0.126647031467989	0.00227354932051878	5.1671575466336e-05	0.000413372603730688
"49RJ"	"POST"	0.00521294896522963	0.0681853724652036	0.125788458530991	0.00500443100662045	0.000364906427566074	0.000781942344784445
"50DM"	"PRE"	0.00921059478586668	0.0605193318415986	0.127751470052558	0.00530780038507571	0.000156111776031639	0.000416298069417703
"50DM"	"POST"	0.00650682426574823	0.0545914496579014	0.138167138756237	0.00409293486151783	0.00212303671616959	2.58291145779522e-05
"53BD"	"PRE"	0.0176709132005225	0.0325697936544444	0.144110744182639	0.00397848882957653	0.00537966852367954	0.00286128019795253
"53BD"	"POST"	0.00761179996167421	0.0428551794268812	0.133578512712349	0.00441510566084448	0.00552696812705449	0.0134349821736735
"54SL"	"POST"	0.0106339258193774	0.0400698654063495	0.137110859960958	0.00102743244631665	0	0.0127401623343265
"54SL"	"FOLLOW-UP"	0.0159107678430224	0.0421254397521009	0.13823473573338	0.0029475178872359	0.000443262411347518	0.0048506612706501
"57MT"	"PRE"	0.0173344405231472	0.04017023043388	0.142983184554702	0.00202408137845132	0.00192028233340253	0.000155698567573178
